ac_number,pdf_url,page_number,total_electors,total_votes_polled,status
134,https://elections.tn.gov.in/Form20_TNLA2026/dt15/AC134.pdf,9.0,195538.0,181165.0,OK_VERIFIED_EXTRACTION
135,https://elections.tn.gov.in/Form20_TNLA2026/dt15/AC135.pdf,6.0,230068.0,214849.0,OK_VERIFIED_EXTRACTION
136,https://elections.tn.gov.in/Form20_TNLA2026/dt15/AC136.pdf,9.0,203090.0,189634.0,OK_VERIFIED_EXTRACTION
137,https://elections.tn.gov.in/Form20_TNLA2026/dt15/AC137.pdf,10.0,223376.0,209285.0,OK_VERIFIED_EXTRACTION
138,https://elections.tn.gov.in/Form20_TNLA2026/dt16/AC138.pdf,14.0,268165.0,241216.0,RECOVERED_MANUAL
139,https://elections.tn.gov.in/Form20_TNLA2026/dt16/AC139.pdf,13.0,287214.0,254985.0,RECOVERED_MANUAL
140,https://elections.tn.gov.in/Form20_TNLA2026/dt16/AC140.pdf,17.0,238980.0,196347.0,RECOVERED_MANUAL
141,https://elections.tn.gov.in/Form20_TNLA2026/dt16/AC141.pdf,18.0,220240.0,182493.0,RECOVERED_MANUAL
142,https://elections.tn.gov.in/Form20_TNLA2026/dt16/AC142.pdf,11.0,259701.0,213583.0,RECOVERED_MANUAL
143,https://elections.tn.gov.in/Form20_TNLA2026/dt16/AC143.pdf,13.0,212403.0,185213.0,RECOVERED_MANUAL
144,https://elections.tn.gov.in/Form20_TNLA2026/dt16/AC144.pdf,10.0,236632.0,209780.0,RECOVERED_MANUAL
145,https://elections.tn.gov.in/Form20_TNLA2026/dt16/AC145.pdf,19.0,214146.0,189141.0,RECOVERED_MANUAL
146,https://elections.tn.gov.in/Form20_TNLA2026/dt16/AC146.pdf,13.0,210753.0,184426.0,RECOVERED_MANUAL
147,https://elections.tn.gov.in/Form20_TNLA2026/dt17/AC147.pdf,33.0,290731.0,253860.0,MISSING_ELECTORS
148,https://elections.tn.gov.in/Form20_TNLA2026/dt17/AC148.pdf,50.0,268155.0,230664.0,MISSING_ELECTORS
149,https://elections.tn.gov.in/Form20_TNLA2026/dt31/AC149.pdf,24.0,262942.0,236042.0,MISSING_POLLED
150,https://elections.tn.gov.in/Form20_TNLA2026/dt31/AC150.pdf,24.0,262942.0,228895.0,MISSING_POLLED
151,https://elections.tn.gov.in/Form20_TNLA2026/dt18/AC151.pdf,,208984.0,175754.0,FINAL_PAGE_NOT_FOUND
152,https://elections.tn.gov.in/Form20_TNLA2026/dt18/AC152.pdf,,240765.0,209186.0,OK
153,https://elections.tn.gov.in/Form20_TNLA2026/dt18/AC153.pdf,,191271.0,169049.0,OK
154,https://elections.tn.gov.in/Form20_TNLA2026/dt18/AC154.pdf,,241767.0,211015.0,OK
155,https://elections.tn.gov.in/Form20_TNLA2026/dt18/AC155.pdf,,223149.0,190656.0,OK
156,https://elections.tn.gov.in/Form20_TNLA2026/dt18/AC156.pdf,,238189.0,214326.0,OK
157,https://elections.tn.gov.in/Form20_TNLA2026/dt18/AC157.pdf,,233259.0,207463.0,OK
158,https://elections.tn.gov.in/Form20_TNLA2026/dt18/AC158.pdf,,231236.0,197092.0,OK
159,https://elections.tn.gov.in/Form20_TNLA2026/dt18/AC159.pdf,,226333.0,188220.0,OK
160,https://elections.tn.gov.in/Form20_TNLA2026/dt38/AC160.pdf,9.0,241432.0,200546.0,OK
161,https://elections.tn.gov.in/Form20_TNLA2026/dt38/AC161.pdf,6.0,234622.0,188691.0,OK
162,https://elections.tn.gov.in/Form20_TNLA2026/dt38/AC162.pdf,9.0,259332.0,219814.0,OK
163,https://elections.tn.gov.in/Form20_TNLA2026/dt19/AC163.pdf,11.0,174736.0,151512.0,MISSING_ELECTORS
164,https://elections.tn.gov.in/Form20_TNLA2026/dt19/AC164.pdf,16.0,170633.0,151750.0,MISSING_ELECTORS
165,https://elections.tn.gov.in/Form20_TNLA2026/dt19/AC165.pdf,12.0,187527.0,162476.0,MISSING_ELECTORS
166,https://elections.tn.gov.in/Form20_TNLA2026/dt20/AC166.pdf,9.0,226940.0,191133.0,OK
167,https://elections.tn.gov.in/Form20_TNLA2026/dt20/AC167.pdf,7.0,234554.0,194169.0,OK
168,https://elections.tn.gov.in/Form20_TNLA2026/dt20/AC168.pdf,13.0,260145.0,218012.0,OK
169,https://elections.tn.gov.in/Form20_TNLA2026/dt20/AC169.pdf,8.0,267576.0,231592.0,OK
170,https://elections.tn.gov.in/Form20_TNLA2026/dt21/AC170.pdf,7.0,257014.0,209468.0,OK
171,https://elections.tn.gov.in/Form20_TNLA2026/dt21/AC171.pdf,8.0,254383.0,208378.0,OK
172,https://elections.tn.gov.in/Form20_TNLA2026/dt21/AC172.pdf,8.0,256617.0,207867.0,OK
173,https://elections.tn.gov.in/Form20_TNLA2026/dt21/AC173.pdf,8.0,258597.0,222215.0,OK
174,https://elections.tn.gov.in/Form20_TNLA2026/dt21/AC174.pdf,9.0,252841.0,199040.0,OK
175,https://elections.tn.gov.in/Form20_TNLA2026/dt21/AC175.pdf,11.0,233758.0,195475.0,OK
176,https://elections.tn.gov.in/Form20_TNLA2026/dt21/AC176.pdf,10.0,242451.0,184152.0,OK
177,https://elections.tn.gov.in/Form20_TNLA2026/dt21/AC177.pdf,8.0,213974.0,176446.0,OK
178,https://elections.tn.gov.in/Form20_TNLA2026/dt22/AC178.pdf,54.0,196024.0,167618.0,MISSING_POLLED
179,https://elections.tn.gov.in/Form20_TNLA2026/dt22/AC179.pdf,61.0,225090.0,203999.0,MISSING_POLLED
180,https://elections.tn.gov.in/Form20_TNLA2026/dt22/AC180.pdf,37.0,225944.0,190615.0,OK_VERIFIED_EXTRACTION
181,https://elections.tn.gov.in/Form20_TNLA2026/dt22/AC181.pdf,68.0,220568.0,182792.0,MISSING_POLLED
182,https://elections.tn.gov.in/Form20_TNLA2026/dt22/AC182.pdf,39.0,212078.0,180483.0,MISSING_POLLED
183,https://elections.tn.gov.in/Form20_TNLA2026/dt22/AC183.pdf,45.0,229792.0,182730.0,MISSING_POLLED
184,https://elections.tn.gov.in/Form20_TNLA2026/dt23/AC184.pdf,13.0,306124.0,229625.0,OK_VERIFIED_EXTRACTION
185,https://elections.tn.gov.in/Form20_TNLA2026/dt23/AC185.pdf,18.0,275999.0,216016.0,OK_VERIFIED_EXTRACTION
186,https://elections.tn.gov.in/Form20_TNLA2026/dt23/AC186.pdf,18.0,278609.0,214716.0,OK_VERIFIED_EXTRACTION
187,https://elections.tn.gov.in/Form20_TNLA2026/dt23/AC187.pdf,17.0,260203.0,209091.0,OK_VERIFIED_EXTRACTION
188,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC188.pdf,6.0,230061.0,190822.0,OK
189,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC189.pdf,10.0,336738.0,272000.0,OK
190,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC190.pdf,6.0,215348.0,189224.0,OK
191,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC191.pdf,6.0,221326.0,161891.0,OK
192,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC192.pdf,11.0,180003.0,141598.0,OK
193,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC193.pdf,8.0,199725.0,148709.0,OK
194,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC194.pdf,8.0,275689.0,216866.0,OK
195,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC195.pdf,8.0,311705.0,255946.0,OK
196,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC196.pdf,7.0,262948.0,231544.0,OK
197,https://elections.tn.gov.in/Form20_TNLA2026/dt24/AC197.pdf,9.0,267969.0,224679.0,OK
198,https://elections.tn.gov.in/Form20_TNLA2026/dt25/AC198.pdf,11.0,257997.0,217699.0,RECOVERED_LAST_PAGE
199,https://elections.tn.gov.in/Form20_TNLA2026/dt25/AC199.pdf,15.0,266570.0,211514.0,RECOVERED_LAST_PAGE
200,https://elections.tn.gov.in/Form20_TNLA2026/dt25/AC200.pdf,14.0,264386.0,221116.0,RECOVERED_LAST_PAGE
201,https://elections.tn.gov.in/Form20_TNLA2026/dt25/AC201.pdf,15.0,257323.0,211077.0,RECOVERED_LAST_PAGE
202,https://elections.tn.gov.in/Form20_TNLA2026/dt26/AC202.pdf,4.0,214646.0,183212.0,OK
203,https://elections.tn.gov.in/Form20_TNLA2026/dt26/AC203.pdf,6.0,224903.0,193627.0,OK
204,https://elections.tn.gov.in/Form20_TNLA2026/dt26/AC204.pdf,5.0,230149.0,199038.0,OK
205,https://elections.tn.gov.in/Form20_TNLA2026/dt26/AC205.pdf,8.0,228465.0,193594.0,OK
206,https://elections.tn.gov.in/Form20_TNLA2026/dt26/AC206.pdf,7.0,200938.0,168517.0,OK
207,https://elections.tn.gov.in/Form20_TNLA2026/dt26/AC207.pdf,4.0,208168.0,178698.0,OK
208,https://elections.tn.gov.in/Form20_TNLA2026/dt26/AC208.pdf,4.0,205681.0,181638.0,OK
209,https://elections.tn.gov.in/Form20_TNLA2026/dt27/AC209.pdf,10.0,235109.0,190014.0,OK
210,https://elections.tn.gov.in/Form20_TNLA2026/dt27/AC210.pdf,7.0,284130.0,220448.0,OK
211,https://elections.tn.gov.in/Form20_TNLA2026/dt27/AC211.pdf,10.0,312463.0,237696.0,OK
212,https://elections.tn.gov.in/Form20_TNLA2026/dt27/AC212.pdf,7.0,299702.0,231373.0,OK
213,https://elections.tn.gov.in/Form20_TNLA2026/dt28/AC213.pdf,7.0,205465.0,175030.0,OK
214,https://elections.tn.gov.in/Form20_TNLA2026/dt28/AC214.pdf,9.0,250803.0,204992.0,OK
215,https://elections.tn.gov.in/Form20_TNLA2026/dt28/AC215.pdf,8.0,233061.0,186322.0,OK
216,https://elections.tn.gov.in/Form20_TNLA2026/dt28/AC216.pdf,6.0,214630.0,176594.0,OK
217,https://elections.tn.gov.in/Form20_TNLA2026/dt28/AC217.pdf,8.0,244686.0,196554.0,OK
218,https://elections.tn.gov.in/Form20_TNLA2026/dt28/AC218.pdf,5.0,242359.0,194497.0,OK
219,https://elections.tn.gov.in/Form20_TNLA2026/dt34/AC219.pdf,7.0,239035.0,197670.0,OK
220,https://elections.tn.gov.in/Form20_TNLA2026/dt34/AC220.pdf,6.0,229179.0,190256.0,OK
221,https://elections.tn.gov.in/Form20_TNLA2026/dt34/AC221.pdf,6.0,269723.0,222360.0,OK
222,https://elections.tn.gov.in/Form20_TNLA2026/dt34/AC222.pdf,6.0,282002.0,235213.0,OK
223,https://elections.tn.gov.in/Form20_TNLA2026/dt34/AC223.pdf,9.0,255730.0,221103.0,OK
224,https://elections.tn.gov.in/Form20_TNLA2026/dt29/AC224.pdf,7.0,276296.0,219060.0,OK
225,https://elections.tn.gov.in/Form20_TNLA2026/dt29/AC225.pdf,14.0,228246.0,191613.0,OK
226,https://elections.tn.gov.in/Form20_TNLA2026/dt29/AC226.pdf,7.0,257498.0,181061.0,OK
227,https://elections.tn.gov.in/Form20_TNLA2026/dt29/AC227.pdf,5.0,257480.0,209548.0,OK
228,https://elections.tn.gov.in/Form20_TNLA2026/dt29/AC228.pdf,5.0,247310.0,200446.0,OK
229,https://elections.tn.gov.in/Form20_TNLA2026/dt30/AC229.pdf,,239978.0,239978.0,OK
230,https://elections.tn.gov.in/Form20_TNLA2026/dt30/AC230.pdf,,259361.0,196545.0,RECOVERED_LAST_PAGE
231,https://elections.tn.gov.in/Form20_TNLA2026/dt30/AC231.pdf,11.0,266055.0,199711.0,MISSING_ELECTORS
232,https://elections.tn.gov.in/Form20_TNLA2026/dt30/AC232.pdf,,237160.0,181647.0,RECOVERED_LAST_PAGE
233,https://elections.tn.gov.in/Form20_TNLA2026/dt30/AC233.pdf,,228697.0,175453.0,RECOVERED_LAST_PAGE
234,https://elections.tn.gov.in/Form20_TNLA2026/dt30/AC234.pdf,,247289.0,178628.0,RECOVERED_LAST_PAGE
